Sentence,Labels Set,subategory,
"ડો કયા કાયદામાં એવું છે કોઈપણ સામાન્ય નાગરિક હોય એને ગાળ દઈને વર્તન કરવું તમને જો તમારી મા બેન સમાણી ગાળો આપે તો વસમું લાગે છે સામાન્ય રસ્તાઓ ઉપર એક મેમાન માટે તકરાર થતી હોય ત્યારે પણ ગેર વર્તન કરતા હોય છે પોલીસવાળા ગાળ તો એક બાજુ પણ તું કારો ના કરી શકાય ઈમાનદાર વાળી નોકરી કરવી હોય તે જે ના ખાનદાનમાં સારું લોહી હોય એ જ કરી શકે બાકી તો પાછલી જિંદગીમાં દુઃખી થવા માટે આવા રસ્તા અજમાવતા હોય છે અસત્ય ને પ્રભુ એ પણ સાથ નથી આપ્યો આ લોહી ની ગરમી એકવાર ઈશ્વર જરૂર કાઢે છે",Hate,Abusive,
"પોલીસ સ્ટેશન માં મહિલા કર્મીઓ એટલી ગંદી ગાળો બોલે છે કે આપણે પોલીસ સ્ટેશન માંથી બહાર નીકળી જવું પડે છે. આપણે ફરિયાદ કરવા જઈએ અને એ લોકો મહિલા પોલીસ જ કરણ વગર સાંભળ્યા વગર આપણ ને જ ગંદી ગાળો દે. મારી સાથે પણ આવું થયું છે.",Hate,Abusive,
"વકીલ તો બહુ જોયા પણ આટલી હિમ્મતવાલા વકીલ પેલી વાર જોયા.",Non-Hate,Positive,
"પોલીસ ને ફક્ત ગુનેગારો પ્રત્યે જ તોસ ડાઈ ભર્યું વર્તન રાખવું જોઈએ, પોલીસ સ્ટેશન માં આવતા નાગરિક માટે નહિ",Non-Hate,Neutral,
"આ લોકોને જો ખાખીની ગરમી હોય ને તો તેમને દેશની બોઁડર પર થોડાક સમય મુકવા જોઈએ જેથી બધી હવા નીકળી જાય
હરામનાં હાડકાનાં થઇ ગ્યા છે.
",Hate,Promoting violence,
"ખુબ ખુબ ધન્યવાદ તમારી પાસે video Proof છે એટલે તમે સાબિત કરી બતાવી શકાય વગર વિડિયો વાળા ની શું હાલત છે પોલીસ સ્ટેશનના પગથિયાં ચડતી વખતે પબ્લિક એ જ ખબર છે બાકી રોજે પબ્લિક સામે પોલીસની હંમેશા આવીજ દાદાગીરીજ વોયસે",Non-Hate,Neutral,
"આ ભૂરા કપડાં વાળો લુખો પોલીસ સ્ટેશન માં શું જખ મારે છે......મોબાઈલ માં ગીતો સાંભળવા આવે છે.....----dino",Hate,Accusations,
"તમારી જેવા 100 વકીલ ગુજરાતમાં થઈ જાય ને એટલે ગુજરાતની પ્રજા ધન્ય ધન્ય થઈ જાય સલામ છે તમારી નીડરતા ને બાકી પોલીસવાળા જનતાને હેરાન કરવાનું જ કામ કરે છે",Non-Hate,Positive,
"ભારત ના સંવિધાન મા ક્યાંય એવું લખેલ નથી કે સામાન્ય માણસ અને ગરીબ વ્યક્તિ ને સરખા અને સારા કપડાં પહેરી ને પોતાની મજબૂરી વ્યક્ત કરવી કે બીજા ની મદદ માટે જવું તમે કોઈ પણ સરખા જેમાં તમારું અંગ સરખું ઢાંકી શકાય એવા કપડાં પેરી શકો અને આ લોક શાહી છે તો બધા સ્વતંત્ર છે ત્યાંના મહિલા પોલીસ કર્મી નો પુનિફોર્મ ક્યાં છે અને આ જે પેલો હવા કરે છે બ્લુ શર્ટ તો તારો યુનિફોર્મ કયા પેલા તું યુનિફોર્મ પેરી ને સ્ટેશનમાં આવતો જા એ તારા બાપ નો બગીચો નથી .....",Non-Hate,Neutral,
"U. M road, khtodra polish સ્ટેશન ma pn rate 8વાગે લોકડોવન લાગી jay ne 8. 15 jogani mata મંદિર પાસે thi niklo to ત્યાં pn poshi સ્ટેશન પાસે રોકી ne તમારી પાસે thi rs. 1000/- no memo આપી devama આવે chhe.",Non-Hate,Neutral,
"આજે આમ પબ્લિક પોલીસથી બીવે છે,અને ગુંડા અને બુટલેગરો બેખોફ ફરે છે,આ પોલીસની કામગીરી છે,સૌથી મોટું ભ્રષ્ટ ખાતું એટલે પોલીસ ખાતું,પૈસા આપો અને તમારા ગુના નાબુદ કરો,આવા પોલીસ અધિકારીને આખું પોલીસ ખાતાના નામ ખરાબ થાય છે,જે કામ કરો તમે તે સારું કાયૅ છે.",Hate,Accusations,
"સાહેબ કોઈ પ્રજાને બોલવાનો ટાઈમ નથી અને કોઈ લફરા માં પડવા તૈયાર નથી અને લોકોને કાયદાનું ભાન નથી એટલે આવા પોલીસવાળા ફટ મારી ગયા છે તમારી લડત સાચી છે આ લોકો નિ શાન ઠેકાણે લાવી જોઈએ..... ભારત માતાકી જય",Hate,Accusations,
"ભાઈ એમણે ખાખી પહેરી એટલે એ રાજા એ જે કરે એ સાચું એવું હોય છે પછી માસ ના પહેરે તો પણ ચાલે ને સામાન્ય પબ્લિક ને ગાળો બોલે તો પણ ચાલે",Hate,Accusations,
"ખરેખર નાના માણસ ને જીવું ભારે પડી રહ્યું છે આજ કાલ, જેની સાથે ઘટના બને તેને જ ખબર હોય કે તેના પર સુ વીતી છે.",Hate,Accusations,
"Police ne kaho ke વારસો પેહલા પોલીસ નું યુનિફોર્મ ચડ્ડી હતી અને ત્યારે પણ પોલીસ સ્ટેશનમાં મહિલા ઓ હતી",Non-Hate,Neutral,
"મેહુલ ભાઈ તમારા જેવા માણસોની જરૂર છે આ લોકોની ચરબી આપોઆપ ઉતરી જાય",Non-Hate,Positive,
"મારો જાત અનુભવ છે આજ થી 10 દિવસ પેલ્લાનો એક આવા જ કેસ માં જામીન થવા ગયેલો...
આ પોલીસ સ્ટેશનમાં મોટા ભાગના અધિકારીઓ લુખ્ખાની જેમ વર્તન કરે છે...
ખુબજ ખરાબ....",Hate,Accusations,
"મેહુલભાઈ આવો કિસ્સો મારી સાથે થયેલો સીમાડા નાકા ચોકી પર સરવૈયા સાહેબ કરીને ડ્યુટી પર
હતા હું બેંકના કામે નીકળ્યો હતો,મને રોકવામાં આવ્યો મારા ખિસ્સા તપસ્યા 5 હજાર રુપિયા હતા તે પડાવવા મને અંદર બેસાડી દીધો હતો,પણ
હું પરિસ્થિતિ સમજી ગયો એટલે કોઈ ઑફર કરી નહિ,થોડીક કમિશનર ને ફરિયાદ કરવાની વાત કરી એટલે 1 કલાક પછી માફીનામું લખાવી છોડી દીધો,આ હતી સરવૈયા સાહેબની ગુંડાગીરી...",Hate,Accusations,
"એડવોકેટ શ્રી મેહુલભાઈ તમારા જેવા લડાયક વ્યક્તિ બહુ ઓછા છે, હું પોલીસનો સખત વિરોધી છું કેમકે તે પોલીસગીરી નહિ ગુંડાગીરી વધુ કરે છે,અમુક સારા અધિકારી પણ છે ,બાકી 70 ટકા ગુંડાગીરી કરે છે.તે વિડીઓમાં દેખાય છે.તમારા કાર્ય ને સલામ
",Non-Hate,Positive,
"શાબાશ મેહુલ, ધન્ય છે દોસ્ત તારી જનેતાને. સ્વમાન ભેર તે જે બીડું ઉઠાવ્યું છે, અમારા આશીર્વાદ છે, કે ૧માંથી ૧૦૦૦ મેહુલ ઉભા કરી તું ગુજરાત નું ભાવિ ઉજવળ બનાવવા માં પ્રકૃતિનો પણ સહયોગ પામીશ કેમ કે તારી નિયતમાં ખોટ નથી લાગતી... તો નિયતી ને પણ તારા મીશન માટે સહયોગ આપવાની ફરજ પડશે.ધન્યવાદ.",Non-Hate,Positive,
"અઠવા પો. સ્ટે. મા ઓળખાણ વગર કોઇ સરખી વાત નથી કરતુ.",Hate,Accusations,
"ભાઇ હવે તો યેવું લાગે છે કી સામાન્ય માણસો બહુ મોટા ગુન્હેગાર છે અને કાયદા ફકત અને ફકત સામાન્ય માટેજ લાગુ પડે છે સામાન્ય માણસ જરા ભી આવાજ કરે તો તેના એજન્સ કરવાઈ થાય અને કાયદાના રખવલાજ કાયદાનું પાલન નથી કરતા",Hate,Accusations,
"પેલો બ્લ્યૂ શર્ટ અને જીન્સ પેરી ને પોલીસ સ્ટેશનમાં કયો યુનિફોર્મ પહેર્યો ને કયો અધિકારી છે અને કયાં અધિકારી ના પાવર માફક આમતેમ બોલે છે",Hate,Accusations,
"અઠવા પોલીસ સ્ટેશનમાં તે મેડમે પણ પોલીસનો યુનીફોમ નથી પહેરીયો અને ઓલા બ્લુશટૅ વાળા લુખ્ખાયે પણ યુનીફોમ નથી પહેરયો સરકારે શુ ઘરમાં મુકવા માટે આપ્યા",Hate,Accusations,
"ભાઈ આ સરથાણા પોલીસ સ્ટેશનમાં પણ આવુજ ચાલી રહ્યું છે માસ્ક નાક નીચે કેમ છે કા ૧૦૦૦ રુપિયા આપો નકર પૈસા ન હોય તો તમારી ઉપર ૧૮૮ ની કલમ લાગશે આ મારો જાત અનુભવ છે",Non-Hate,Neutral,
"સુરત સીટી પોલીસ પર હવે પબ્લિક ને ભરોસો છે જ નય કેમ કે સુરત સીટી પોલીસ મા વધારે પડતા અધિકારી ગુંડા બની ગયા છે લોકો ને લૂંટવા મા પહેલો નંબર પણ એ લોકો ને એ ખબર નથી કે જયારે પબ્લિક નુ છટકી જાસે ને ત્યારે કોઈ બાપ નય આવે આડા જે વર્દિ પહેરી છે એનુ તો માન જાળવો નીચના પેટના ઓ",Hate,Accusations,
"બૂટલેગરો પાસે જાય તો તો ઓલા ધારિયા અને લોખંડની પાઇપો લઈને તૂટી પડે. આ ગુજરાતના ઠુલ્લાઓ ને કોઈ નક્સલી એરિયા વાળા રાજ્યમાં મોકલાય તો ખબર પડે પોલીસની નોકરી એવી આશાન નથી જેવી ગુજરાતમાં છે.",Hate,Promoting violence,
"ખોબે ખોબે મત આપવા ને એનું પરિણામ છે ભાઈ બીજું કંઈ છે નહીં આ ભારત દેશને હવે વેચી દેશે આ નેતા લોકો આપણો ભારત દેશ આઝાદ થયો ને કેટલા વર્ષો થયા એક નેતા ભારત દેશમાં સારો પેદા નથી થયો આ ભૂલ પોલીસવાળાની નથી આ ભૂલ નેતા લોકોની છે અને મિડલ ક્લાસ માણસને મારી નાખવો હોય તો હવે મારી નાખો જય હિન્દ વંદે માતરમ ભારત માતાકી જય",Hate,Accusations,
"સારું કામ કર્યું સાહેબ આવા હજી ઘણા સે બધા ને ઘર ભેગા કરજો સાહેબ કેમ કે નોકરી કરતા નથી ને લોકો પાસે થી પયશા લૂંટે સે... મેં જોયું સે સાહેબ કાપોદ્રા વિસ્તાર માં રત્નકલાકાર સાંજે છૂટી ને ઘર જતા હોય સે ટિફિન હોય સે સાથે તોય બિચારા ને લૂંટી લે સે આવા પોલીસ વાળા નું સુ કામ સે",Hate,Accusations,
"સાહેબ ગુજરાતમાં કાયદાનો દુરુપયોગ થઈ રહ્યો છે. Police તાનાશાહી જેવું વર્તન કરી રહી છે",Hate,Accusations,
"સરકારી જગ્યામાં કપડા વ્યવસ્થિત હોવા જોઈએ એવું કહીએ ત્યારે આપણા વાણી, વ્યવહાર પણ યોગ્ય હોવા જ ઘટે.",Non-Hate,Neutral,
"ભાઈ
ચડ્ડો... નાઈટ ડ્રેસ છે...
ઘરમાં ય વડીલો હોય ને તેમનું ચાલતું હોય તો.. ટોકે... મેઈન રુમ મા ન બેસાય ચડ્ડો પહેરી ને... ને પોલીસ સ્ટેશનમાં પહોંચી ગયા..
માસ્ક ન પહેર્યો હોય તો... દંડ ભરો... પોલીસ સ્ટેશનમાં લઈ જવા પડે.!!!
એટલી આડાઈ તો તમે જ કરી હશે ને...",Non-Hate,Neutral,
"જુઓ ભાઈ...
પોલીસ માસ્ક પહેરી ને બેસવુ જોઈએ... જ... પણ... તેનો અર્થ... બીજા ને પણ માસ્ક ન પહેરે તો... દંડ ન કરી શકે... એવું લોજીક.. વ્યાજબી નથી..
બહેનો નાની ચડ્ડી પહેરે તે અલગ બહેન હોય. પોલીસ સ્ટેશનમાં કામ કરતી બ્હેનો સામે.. ચડ્ડો પહેરવો... એક વસ્તુ છે... આ કાયદેસર ગુનો નથી જ.. પરંતુ.. સભ્ય પણ નથી જ.
તમે મોર્નિંગ વોક ની વાત કરો છો.. કેટલાક પ્રગતિશીલ સમાજના બ્હેનો મંદિરમાં પણ ટુકા વસ્ત્રો પહેરીને આવે છે.. ને રોકવામાં આવે તો.. મંદિરના વહીવટ કરનાર ને કહે તમારી દ્રષ્ટિમા ખોટ છે.. ચાલે પરંતુ... જો પોલીસ બ્હેનો આપના ટુકા વસ્ત્રો ની ટીકા કરે કે ફરીયાદ કરે તો યોગ્ય તો છે જ.. તકલીફ એ છે આપણે પોલીસ સ્ટેશનમાં આપણું કામ કઢાવવા જઈએ તો.. થોડીક.. આપણી પર્સનાલિટી પડે તેવા વસ્ત્રો પરિધાન કરવામાં.. પાંચ મિનિટ વધારે થાય..!!!
કયા જીવન મરણ નો સવાલ હતો તે નાઈટ ડ્રેસમા દોડવું જોઈએ... ! !!",Non-Hate,Neutral,
"ભાઈ મારુ કહ્યું તો એવું છે કે ચડો પહેરીને ઘરની બહાર ના નીકડો કારણ કે અને ઘરમાં પણ ના પહેરવો જોઈ આપડા ઘરમાં પણ મા અને બહેન હોઈ છે એવું જ ઘરની બહાર આપણી મા અને બહેનો હોય છે.",Non-Hate,Neutral,
"પોલીસ આરોપીઓને પકડવા જાય તો અંડરવેર પેરેલી હોય તોય ઊપાડી લાવે છે પેન્ટ પહેરવાનો સમય કયા આપે છે",Non-Hate,Neutral,
"બાપની જાગીર સમજે સે અપોલીસ સ્ટનો સહે પોતે ભડકો બજારે ચડી પેરીને નીકળે સે ત્યારે સુ બેન્દિક્રી બજાર માં નથી હોતી ચાલ હલકા પોલીસ વલા",Hate,Abusive,
"આ હવા કરેછેને એનુ એકપણ નુ ઘરે બૈરી પાસે એક પૈસાનુય ચાલતુનયહોય ખાલી પો.સ્ટે.માજ હવા ઠોકેછે એકેયે માસ્ક તો પહેરયુ નથી",Non-Hate,Neutral,
"આ પોલીસ થોડા સમય પહેલા ચડ્ડીઓ જ પહેરતા હતા અને એજ ચડડા પોલીસ કહેવામાં આવતા,, ભાઈ એ ચડડો પહેર્યો છે તો ખોટું નથી,તમે તો એની સાથે નાગાઈ કરો છો,,એ તો પોતે મર્યાદા માં જ છે,, ટોપાઓ માસ્ક પહેરી ને કાયદો બતાવે,,,આ",Hate,Abusive,
"સુરત પોલીસના કાયદા કાનુન અલગ બનાવેલ છે જે કોઇપણ કૉટૅમાં ચાલતા નથી બીજુ સુરત શહેર ચુટણી બાદ કેન્દ્ર કે ગુજરાત સાશીત નથી બુટલેગર અને ગુડાઓને અને આર એસ એસ ને સોંપી દીધેલ છે માટે કોઇએ પણ ફરીયાદ કરવી નહી",Hate,Accusations,
"ભાઈ બંધારણ મા નથી લખેલુ પોતાના ધર્મ પ્રમાણે બધું પહેરાય લાગોત પણ ચાલે",Non-Hate,Neutral,
"તો શું જામીનને વરરાજા બનીને, સૂટ-બુટ પહેરીને જામીન થાવા જાવું....?",Non-Hate,Neutral,
"આવતા ઈલેક્શન માં BJP ના 50% વોટ તો પોલીસ વાળાને કારણે તુટસે સાલા ઓ એ લોકોને બઉ હેરાન કર્યા છૅ",Hate,Accusations,
"સાવ સાચી વાત છે ભાઈ મારી ગાડી ચોરાઈ ગઈ એના ૩ મહિના થયા છે આજ સુધી એક પણ ફોન નથી આવ્યો કે તપાસ નથી થઈ ત્યારે આ પાવર ક્યાં જતો રહે છે ગરીબ માણસો ને હેરાન કરવા છે ત્યારેજ બધો પાવર બહાર આવે છે...",Hate,Accusations,
"આ પોલીસવાળા એ ભૂલી ગયા કે પોલીસનો ડ્રેસ પણ એક ખાખી ચડ્ડી જ હતી",Non-Hate,Neutral,
"મેહુલભાઈ જનતા આમનાથી ડરી જાશે હો #થાય_ઈ_કરી_લેજે એમ કેય છે અને એ પણ રોફ થી માટે પહેલા આમને ટ્રેનીંગમાં એ શીખવાડો કે જનતા ને પણ માન થી બોલાવે...તુકારા કરશે તો તેઓને પણ તુકારા જ મળશે અને જનતા ગાળો પણ આપશે.....આમાં ક્યાંથી રાજ્ય અને દેશનો વિકાસ થાય",Non-Hate,Neutral,
"પોલીસ જનતાને ખોટા કાયદા બતાવીને ગુમરાહ કરે તો તેની સામે કાયદેસર કાર્યવાહી થવી જોઈએ",Hate,Accusations,
"વાહ મેહુલ ભાઈ ખરેખર ધન્યવાદ ને પાત્ર કામ કરો છો જો આ દેશ માં લોકશાહી બચાવી હોય તો હજુ તમારા જેવા લાખો જાગૃત નાગરિક ની જરૂર છે જે આ ખોટી સીસ્ટમ સામે લડી શકે",Non-Hate,Positive,
"આજ દિન સુધી Rss વાળા સડા પેહરી ને સુ મંજીરા વગાડતા તા Rss સંગઠન ને કેટલા વર્ષે સડા પેહરી ને ગમે તયા આટા માર્યા છે આ ખાખી ને સમજાવો કોક કે તમે અમારા જ ટેક્સ ના રૂપિયા થી તમારો પગાર આવે છે તમને નોકરી કરવામાં આટલી બધી તકલીફ હોય તો ભાઈ રાજીનામું આપી ઘરે બેચી જાવ સડા વાળી વાત મને યોગ્ય ના લાગી અને બીજુ કે એ પોલીસ કોસ્ટેબલ હોય કે તેનાથી ઉપરના ના દરજાના અધીકારી એ પોતાને Sp હોય એવી રીતે ફિલીગ લેય છે",Non-Hate,Neutral,
"ભાઈ પાંડેસરા પોલીસ સ્ટેશન મા પણ વગર માસ પહેરી પોલીસ વારા બેસે છે અને જાહેર જનતા ને માસ વગર 1000 રૂપિયા નો દંડ કરે છે દંડ તો બરાબર છે પણ આપણે આતંગવાદી હોય એવો વહેવાર કરે છે",Hate,Accusations,
"બરાબર છે....ઍ બ્લુ શર્ટ વાળાના કપડા એક પણ એન્ગલથી પ્રોફેશનલ નથી લાગતા....Good bhai",Non-Hate,Neutral,
"એવા ઓફિસર ને બારે કાઢો જરૂર નથી ખોટી હોંશિયારી દેખાડી વરદી નો પાવર બતાવે છે",Hate,Accusations,
"આપણા ટેક્સ ના પૈસા થી એમનુ ઘર ચાલે છે
આ છુ
અધિકારીઓ છે ના આતો ખાખી મા રહેલ સેતા છે
બાકી વર્દી ની ઈજ્જત પબ્લીક કરે છે
તમારી નહી
જીવતે જીવ જીવડા પડછી આવા લોકોને",Hate,Accusations,
"મોહન ભાગવત નિ સાથે ઓલો મોદી પણ ચડો પેરે છે જાહેરમાંજ પેરે છે અને ઍ ચડો કેવો છે?",Non-Hate,Neutral,
"સલામ છે વકીલ સાહેબ તમને
જે બુટલેગર ચોર હફતા ચાલતા હોય એમને પોલીસ સ્ટેશન માં ચા પીવડાવીને મોકલી આપે
અને આવી ગરીબ જનતા આ રીતે ધમકાવી પૈસા પડાવવા રીત હોય છે",Hate,Accusations,
"ઈચ્છાપુર કારખાના ગયેલા છે હીરાવાળાને ખૂબ જ તકલીફ આપે છે પોલીસવાળા અને લોટ મચાવે છે અને ગેર વ્યવહાર અને ગાળો બોલો ત્રણ ચાર જણા તો જેને કાયદો નથી પકડવાનો એ પકડી અને જનતાને હેરાન કરે છે",Hate,Accusations,
"અને પેલા ભાઈ કહે છે કે તે તાત્કાલિક આવ્યા છે એટલે આ થોડા ફેશનેબલ કપડાં માં આવ્યા છે...તો..એટલા બધા રૂવાબ થી પોલીસે જવાબ દેવાની જરૂર છે",Non-Hate,Neutral,
"એમનો બાપ યાદ કરાવી દો મેહુલ ભાઈ",Non-Hate,Neutral,
"👉એ પણ યાદ રાખવું જોઈએ કે ગુજરાતની દારૂબંધી એ ભારત દેશનું સૌથી મોટું કૌભાંડ છે...
આખા ગુજરાતમાં દેશી તેમજ ઇંગ્લિશ દારૂનું ખુલ્લે આમ વેચાણ થઇ રહ્યું છે જેના બદલામાં બુટલેગરો કરોડો રૂપિયા હપ્તા સ્વરુપે ક્યાં પહોચાડી રહ્યા છે તે આજ સુધી જાણી શકાયું નથી....
👉લિંબાયતમા તો ધારાસભ્ય સંગીતાબેન પાટીલના કર્યાલયથી 500 મીટર દૂર ખુલ્લે આમ દેશી તેમજ ઇંગ્લિશ દારૂ નું વેચાણ થઇ રહ્યું છે....",Hate,Accusations,
corruption.....આ એક શબ્દ નામ નો રઇ ગયો છે....બાકી તમારે એક નંબર નો ધંધો કરવો હોઇ તો પણ રૂપિયા આપવાના અને બે નંબર નો ધંધો કરવો હોઇ તો પણ આપવાના....,Hate,Accusations,
"એ મુસલમાન ની ઓલાત હશે",Hate,Promoting violence,
"આપણા ટેક્સ ના પૈસા થી એમનુ ઘર ચાલે છે
આ છુ
અધિકારીઓ છે ના આતો ખાખી મા રહેલ સેતા છે
બાકી વર્દી ની ઈજ્જત પબ્લીક કરે છે
તમારી નહી
જીવતે જીવ જીવડા પડછી આવા લોકોને",Hate,Accusations,
"વાહ,,, ખૂબ સુંદર રીતે કાયદાનુ ભાન કરાવવામાં આવ્યું
@દબંગ એડવોકેટ@ બોઘરા સાહેબ",Non-Hate,Positive,
"આ હરામીનાવ માક્સ પેર્યૂ હોય તો પણ એનો ટાર્ગેટ પુરો કરવા ધમકી આપી ને મેમો બનાવી રહ્યા છે અે પણ કોઈ નેતા પાસેથી નહિ આમ જનતા પાસેથી. ઈ પણ 1000 નો... આને નહીં તો આની પ્રજા ને 100% ભોગવવુ પડશે",Hate,Accusations,
"સુરત ના અઠવા પોલીસ નો નવો કાયદો જામીન આપવા માટે હવે યુનિફોર્મમાં પોલીસ સ્ટેશનમાં જવું પડશે",Non-Hate,Neutral,
"ઓન ડ્યૂટી મોબાઈલ મા ગેમ રમવાની પરમીશન કે પીક્ચર જોવાની પરમીશન હોય
ઓન ડ્યૂટી બાપના બગીચામાં બેઠા હોય એમ પગ ઉપર પગ ચડાવી ને લામ્બા થય ને વિધાઉટ ડ્રેસ મા બેસવાની પરમીશન હોય",Non-Hate,Neutral,
"સાહેબ આ લોકો પોતાની જાત ને સરકાર માની બેસે છે બધાના બાપ હોય એમ બધાની આગળ દમકાવાવા નું જ કામ કરે છે",Hate,Accusations,
"ASI સરોજબેન, વડોદરા ગ્રામ્ય મહિલા પોલિસ નું આવું વર્તન!!!
શું કાયદો આમને આવું વર્તન કરવાની અનુમતિ આપે છે... ખાખી પણ નથી પહેરી જ્યારે કે સ્ત્રીધન પાછું આપવાનું પંચનામું કરવા આવ્યા છે.... શું હું માણસ નથી કે મને બળદ કહે આ પોલીસ સાહેબ...",Hate,Accusations,
"હજી આ લોકો પોતાની પીઆર ગાડી રોડ ની વચ્ચે ઉભી રાખી ને ટ્રાફિક કરે છે. તો એનો કોઈ ઉપચાર કરો. ભાઈ.",Hate,Accusations,
"મસો. લય લો જાહેરમાં એને પાવર ઉતારીને બધખબર પડેને નોકરી 8કલાક ની j હોય પસી લોકલ ગણાય",Non-Hate,Neutral,
વાહ મેહુલભાઈ આપની હિમ્મત ને મારી સલામ કરું છું ગુજરાત સરકાર મા આપ જેવા બાહોશ ને હિંમતવાન સિંહ ના કાળજા વાળા ની જરૂર છે તો લોકો ને સાચા અર્થમાં લોકશાહી નો સ્વાદ ચાખવા મળે હો મા મોગલ તમને કરોડ દિવાળી ના કરે ને સાચાં અર્થ માં સત્ય મેવ જયતે થાય ભાઈ 🙏🙏🙏🙏,Non-Hate,Positive,
"મેહુલભાઈ ને બીજા વકીલ મિત્રો મદદ કરો.......આ રક્ષકો આપના ભક્ષકો બની ગયા છે.........ખૂબ સુંદર કામગીરી છે મેહુલભાઈ",Non-Hate,Positive,
"આમા એક લુખ્ખો અધિકારી એમ કહે છે કે લેડી હોત તો હું મદદ કરેત પણ તને નથી કરવી એ લુખ્ખો.અધિકારી...ચડ્ડો.પહેરેલા વ્યક્તિ થી પણ સાવ નાગો જ છે..
આ લોકો.આ બધા નીચ કક્ષાના‌.અધિકારીઓ.છે.
જે.પબ્લીકને.હેરાન કરવા બેઠા છે.
જો.આ અધિકારીઓમા એટલી બધી શરીફાઈ હોય તો..તે.
બુટલેગરોને કેમ.સબક નથી શીખવતા.?..આખા શહેરમા દારુ ક્યાંથી આવે છે.? ...તેનો.જવાબ.આ શરીફીના નાટક ઠોકતા.અધિકારીઓ‌.પાસે.નહી હોય... પેલો જામીનના.પેપર લ‌ઈને.આવેલો છે તો આપી દેવા જોઈએ...પણ.અફસોસ.કે.આ અધિકારીઓ ને.સામાન્ય માણસને.હેરાન કરવામાં.રસ.છે...",Hate,Abusive,
"ભાઈ મેહુલ તુજે બોલે છે ને ફરિયાદ કરવાની પ્લીઝ વિનંતી છે કરજે જે બોલે છે એ કરજે અમે તમારી સાથે જ છીએ",Non-Hate,Positive,
"પેલો બિચારો ગરીબ છું સાહેબ એમ કરી ને આજીજી કરે છે ને પેલા ભાઈ ખોટો પાવર બતાવે છે...
કેમ ભાઈ આ ગરીબ છે એટલે પાવર બતાવા નો..
કોઈ સાચો power વાલો સમો ભેગો થશે ને ત્યારે
તમારા પાવર ની હવા કાઢી નાખ શે..સુધરી જાવ.",Hate,Promoting violence,
"જો દરેક એડવોકેટ પોતાનુ કામ આટલી ઈમાનદારી થી કરે તો કોઈ અધિકારી ની તાકાત નથી કે સામાન્ય જનતા ને હેરાન કરે 🙏 Good job Mehul Bhai 👍",Non-Hate,Positive,
"આજ થી 40 વર્ષ પેલા ચડ્ડી પહેરી ને કોન્સ્ટેબલ નોકરી કરતા હતા ત્યારે આ નિયમ ક્યાં ગ્યો તો 😜😜😜😜😜😜😁😁😁😁🤣🤣🤣",Non-Hate,Neutral,
"Adv mehul boghara તમારી કામગીરી ખૂબ જ ઉમદા છે. તમારી જેવા ખૂબ જ ઓછા વ્યક્તિઓ છે જે લોકો માટે ખૂબ જ મદદકર્તા હોય છે...",Non-Hate,Positive,
"મેહુલ ભાઈ આવા અધિકારી ઓ ને સસ્પેન્ડ કરાવો",Hate,Accusations,
"સાહેબ આ લોકો નો સુધરે અને નો સુધરે એનુ કારણ છે કે પ્રેમથી વાત કરે તો પૈસા કોણ આપે એટલે એ પૈસા માટે ધમપછાડા કરે છે અને ભાઇ તમારા જેવા માણશો હોવા જરુરી છે તો જ આ લોકો માપ મા રેહછે નહીંતર આ એક જાતની ઇતડી છે લોહી ચુચવાનુ જ કામ કરે છે",Hate,Accusations,
"આ પોલીસ ની વિરોધ માં કોર્ટ માં પીટીશન દાખલ ના થઈ શકે??",Non-Hate,Neutral,
"આ લુખા ઓ પોતે કેટલા નિયમ નુ પાલન કરે છે. ઇ બઘા ને ખબર જ છે. પોતે શુ બોલે છે ઇ શુ છે. પાછો બિજાને સિખાડે છે. કોસટેબલ છો તો ઇ પ્રમાણે વાત કરતા શિખો.",Hate,Accusations,
"જીલોકો ને વેચે છે દારુ ઇ લોકોને નય પકડે ને જી પીવે છે ઇલોકોને પકડસે પોલીસ વાડા આવ છે ભાઇ ઓ ગુજરાતમા",Hate,Accusations,
"ઓરીજીનલ હીરો પાટીદાર સમાજના પ્રેસિડેન્ટ છે સાહેબ એડવોકેટ આ ને કહેવાય સાહેબ રિશવત ખોર હરામખોર ને તો દલાલો કહેવાય છે સાહેબ",Hate,Accusations,
"રસ્તામાં 2 ફામ લુંટવાનુ ચાલું.",Hate,Accusations,
"મેહુલ ભાઈ અઠવા પોલીસ ની હતમા ચા વાલા ખુલેઆમ ચલાવેછે હોટોલો તમારે જોવુ હોઈ. તો કમાલ. ગલી મા એકવાર. આવી ને જોવો એતલી બથી ભીર હોઈછે",Hate,Accusations,
"આવા પોલીસ વાળા સપેન્ડ થવા જોયે ફરી નોકરી લાગવા પણ ના જોયે",Hate,Accusations,
"સો વાતની એક વાત....
પોલીસ સ્ટેશનમાં ચડ્ડો પહેરીને ના જવાય.",Non-Hate,Neutral,
"જનતાની નિષ્ક્રિયતા આ લોકો ની તાકાત બને છે.",Non-Hate,Neutral,
"પોલીસ વાળા ખુદ માકસ વગર બેઠા છે એ લોકો ને કોણ દંડ કરશે...",Hate,Accusations,
"વાહ બાપુ તમારા જેવા વ્યક્તિ ની બવ જ જરૂર છે દિલ જીતી લીધું તમે હો.... સલામ સર તમને",Non-Hate,Positive,
